Product,Source
Apache Druid ,https://github.com/apache/druid/pull/12051
Apache Flink ,https://flink.apache.org/2021/12/10/log4j-cve.html
Apache LOG4J ,https://logging.apache.org/log4j/2.x/security.html
Apache Kafka ,https://lists.apache.org/thread/lgbtvvmy68p0059yoyn9qxzosdmx4jdv
Apache Solr ,https://solr.apache.org/security.html#apache-solr-affected-by-apache-log4j-cve-2021-44228
Apero CAS ,https://apereo.github.io/2021/12/11/log4j-vuln/
Aptible ,https://status.aptible.com/incidents/gk1rh440h36s?u=zfbcrbt2lkv4
Atlassian ,https://confluence.atlassian.com/kb/faq-for-cve-2021-44228-1103069406.html
Automox ,https://blog.automox.com/log4j-critical-vulnerability-scores-a-10
AWS ,https://aws.amazon.com/security/security-bulletins/AWS-2021-005/
AZURE Datalake store java ,https://github.com/Azure/azure-data-lake-store-java/blob/ed5d6304783286c3cfff0a1dee457a922e23ad48/CHANGES.md#version-2310
BACKBLAZE ,https://twitter.com/backblaze/status/1469477224277368838
BitNami By VMware ,https://docs.bitnami.com/general/security/security-2021-12-10/
Broadcom ,https://support.broadcom.com/security-advisory/content/security-advisories/Symantec-Security-Advisory-for-Log4j-2-CVE-2021-44228-Vulnerability/SYMSA19793
CarbonBlack ,https://community.carbonblack.com/t5/Threat-Research-Docs/Log4Shell-Log4j-Remote-Code-Execution-CVE-2021-44228/ta-p/109134
Cerberus FTP ,https://support.cerberusftp.com/hc/en-us/articles/4412448183571-Cerberus-is-not-affected-by-CVE-2021-44228-log4j-0-day-vulnerability
CheckPoint ,https://supportcenter.checkpoint.com/supportcenter/portal?eventSubmit_doGoviewsolutiondetails=&solutionid=sk176865&partition=General&product=IPS
Cisco,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Citrix ,https://support.citrix.com/article/CTX335705
CloudFlare ,https://blog.cloudflare.com/cve-2021-44228-log4j-rce-0-day-mitigation/
CPanel ,https://forums.cpanel.net/threads/log4j-cve-2021-44228-does-it-affect-cpanel.696249/
CommVault ,https://community.commvault.com/technical-q-a-2/log4j-been-used-in-commvault-1985?postid=11745#post11745
Connect2id ,https://connect2id.com/blog/connect2id-server-12-5-1
ConnectWise ,https://www.connectwise.com/company/trust/advisories
ContrastSecurity ,https://support.contrastsecurity.com/hc/en-us/articles/4412612486548
Coralogix ,https://twitter.com/Coralogix/status/1469713430659559425
CouchBase ,https://forums.couchbase.com/t/ann-elasticsearch-connector-4-3-3-4-2-13-fixes-log4j-vulnerability/32402
Cybereason ,https://www.cybereason.com/blog/cybereason-solutions-are-not-impacted-by-apache-log4j-vulnerability-cve-2021-44228
Datto ,https://www.datto.com/blog/dattos-response-to-log4shell
Debian ,https://security-tracker.debian.org/tracker/CVE-2021-44228
Docker ,https://twitter.com/Docker/status/1469730925176967168
DropWizard ,https://twitter.com/dropwizardio/status/1469285337524580359
DynaTrace ,https://community.dynatrace.com/t5/Dynatrace-Open-Q-A/Impact-of-log4j-zero-day-vulnerability/m-p/177259/highlight/true#M19282
Eclipse Foundation ,https://git.eclipse.org/r/c/tracecompass/org.eclipse.tracecompass/+/188751
Elastic ,https://discuss.elastic.co/t/apache-log4j2-remote-code-execution-rce-vulnerability-cve-2021-44228-esa-2021-31/291476
EVLLABS JGAAP ,https://github.com/evllabs/JGAAP/releases/tag/v8.0.2
F5 Networks ,https://support.f5.com/csp/article/K19026212
F,https://status.f-secure.com/incidents/sk8vmr0h34pd
Forescout ,https://forescout.force.com/support/s/article/Important-security-information-related-to-Apache-Log4j-utility-CVE-2021-44228
FusionAuth ,https://fusionauth.io/blog/2021/12/10/log4j-fusionauth/
Ghidra ,https://github.com/NationalSecurityAgency/ghidra/blob/2c73c72f0ba2720c6627be4005a721a5ebd64b46/README.md#warning
GitHub ,https://github.com/advisories/GHSA-jfh8-c2jp-5v3q
Google Cloud Armor WAF ,https://cloud.google.com/blog/products/identity-security/cloud-armor-waf-rule-to-help-address-apache-log4j-vulnerability
GrayLog ,https://www.graylog.org/post/graylog-update-for-log4j
GuardedBox ,https://twitter.com/GuardedBox/status/1469739834117799939
HackerOne ,https://twitter.com/jobertabma/status/1469490881854013444
Huawei ,https://www.huawei.com/en/psirt/security-notices/huawei-sn-20211210-01-log4j2-en
HostiFi ,https://twitter.com/hostifi_net/status/1469511114824339464
Informatica ,https://network.informatica.com/community/informatica-network/blog/2021/12/10/log4j-vulnerability-update
Ivanti ,https://forums.ivanti.com/s/article/CVE-2021-44228-Java-logging-library-log4j-Ivanti-Products-Impact-Mapping?language=en_US
JAMF NATION ,https://community.jamf.com/t5/jamf-pro/third-party-security-issue/td-p/253740
JazzSM DASH IBM ,https://www.ibm.com/support/pages/node/6525552
Jenkins ,https://www.jenkins.io/blog/2021/12/10/log4j2-rce-CVE-2021-44228/
JFROG ,https://twitter.com/jfrog/status/1469385793823199240
Jitsi ,https://github.com/jitsi/security-advisories/blob/4e1ab58585a8a0593efccce77d5d0e22c5338605/advisories/JSA-2021-0004.md
Keycloak ,https://github.com/keycloak/keycloak/discussions/9078
Kafka Connect CosmosDB ,https://github.com/microsoft/kafka-connect-cosmosdb/blob/0f5d0c9dbf2812400bb480d1ff0672dfa6bb56f0/CHANGELOG.md
LucentSKY ,https://twitter.com/LucentSky/status/1469358706311974914
Macchina io ,https://twitter.com/macchina_io/status/1469611606569099269
