uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"7988ec7d-8ab3-487d-b9de-5924a75c4085",4167,"Network activity","ip-dst","159.223.70.25","#Log4shell - https://twitter.com/58_158_177_102/status/1470566991593611267",1,1639509194,"","Log4shell","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"ddb4b3cc-71ba-48de-8f59-55a7f2a90040",4167,"Network activity","ip-dst","195.54.160.149","#log4j - https://twitter.com/TMDFIR/status/1470615808799817733",1,1639509194,"","log4j","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"405c6674-1cb5-4eb2-8bd4-784df1b26657",4167,"Network activity","ip-dst","211.149.226.247","#Log4shell - https://twitter.com/1ZRR4H/status/1470634223824519173",1,1639509194,"","Log4shell","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"ea2d9391-870c-419e-98c5-91a9d79ca7dd",4167,"Network activity","ip-dst","202.155.254.198","#log4j - https://twitter.com/davidfrafael/status/1470721322649071620",1,1639509194,"","log4j","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"7f3f9a77-c3dc-40aa-9745-e30d8a4ec1e1",4167,"Network activity","ip-dst","193.3.19.159","#log4j - https://twitter.com/mrchimpington/status/1470736141833814020",1,1639509194,"","log4j","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"90ecfc33-132e-4e45-b53b-0747fce405f7",4167,"Network activity","ip-dst","104.244.76.170","#Log4shell - https://twitter.com/mr3jk/status/1470777071169425412",1,1639509194,"","Log4shell","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"38c4d31a-8ece-4c23-8a88-0eb644a01387",4167,"Network activity","ip-dst","185.220.101.179","#Log4shell - https://twitter.com/mr3jk/status/1470777071169425412",1,1639509194,"","Log4shell","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"9eb8a304-33cd-47c0-bed0-18aba4456750",4167,"Network activity","ip-dst","185.220.101.160","#Log4shell - https://twitter.com/mr3jk/status/1470777071169425412",1,1639509194,"","Log4shell","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"16988eac-565a-4a5c-b711-31846ed7ac39",4167,"Network activity","ip-dst","185.220.101.45","#Log4shell - https://twitter.com/mr3jk/status/1470777071169425412",1,1639509194,"","Log4shell","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
"3c887601-e543-4fea-a1c0-cde35abe9f0b",4167,"Network activity","ip-dst","113.98.224.68","#Log4shell - https://twitter.com/mr3jk/status/1470777071169425412",1,1639509194,"","Log4shell","","","","Log4j TweetFeed IOC Feed","Log4j-CI","Log4j-CI",1,"High",1,"2021-12-14","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1640365203
