category,type,value,date
Payload delivery,md5,0579a8907f34236b754b07331685d79e,1639339573
Payload delivery,sha256,063ccf736c2c19ca5db70b8d8a7cf00377899c16023c63fee836bdefadd336c1,1639339573
Payload delivery,md5,07b7746b922cf7d7fa821123a226ed36,1639339573
Payload delivery,md5,0bb39ba78fc976edb9c26de1cecd60eb,1639339573
Payload delivery,md5,0e1a1382d4fd420f8a5ae1d88b3085e7,1639339573
Network activity,ip-dst,1.116.59.211,1639339573
Network activity,ip-dst,1.14.17.89,1639339573
Network activity,ip-dst,1.209.249.188,1639339573
Network activity,ip-dst,101.35.154.34,1639339573
Network activity,ip-dst,103.103.0.141,1639339573
Network activity,ip-dst,103.103.0.142,1639339573
Network activity,ip-dst,103.214.5.13,1639339573
Network activity,ip-dst,103.90.239.209,1639339573
Network activity,ip-dst,104.131.53.79,1639339573
Network activity,ip-dst,104.244.72.115,1639339573
Network activity,ip-dst,104.244.72.129,1639339573
Network activity,ip-dst,104.244.72.136,1639339573
Network activity,ip-dst,104.244.72.7,1639339573
Network activity,ip-dst,104.244.73.126,1639339573
Network activity,ip-dst,104.244.73.43,1639339573
Network activity,ip-dst,104.244.73.85,1639339573
Network activity,ip-dst,104.244.73.93,1639339573
Network activity,ip-dst,104.244.74.211,1639339573
Network activity,ip-dst,104.244.74.55,1639339573
Network activity,ip-dst,104.244.74.57,1639339573
Network activity,ip-dst,104.244.75.225,1639339573
Network activity,ip-dst,104.244.75.74,1639339573
Network activity,ip-dst,104.244.76.13,1639339573
Network activity,ip-dst,104.244.76.170,1639339573
Network activity,ip-dst,104.244.76.173,1639339573
Network activity,ip-dst,104.244.76.44,1639339573
Network activity,ip-dst,104.244.77.139,1639339573
Network activity,ip-dst,104.244.77.235,1639339573
Network activity,ip-dst,104.244.78.213,1639339573
Network activity,ip-dst,104.244.79.6,1639339573
Network activity,ip-dst,104.248.144.120,1639339573
Network activity,ip-dst,107.189.1.160,1639339573
Network activity,ip-dst,107.189.1.178,1639339573
Network activity,ip-dst,107.189.10.137,1639339573
Network activity,ip-dst,107.189.10.143,1639339573
Network activity,ip-dst,107.189.11.153,1639339573
Network activity,ip-dst,107.189.12.135,1639339573
Network activity,ip-dst,107.189.13.143,1639339573
Network activity,ip-dst,107.189.14.182,1639339573
Network activity,ip-dst,107.189.14.76,1639339573
Network activity,ip-dst,107.189.14.98,1639339573
Network activity,ip-dst,107.189.28.100,1639339573
Network activity,ip-dst,107.189.28.241,1639339573
Network activity,ip-dst,107.189.28.84,1639339573
