uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"b29be24e-fb42-4b68-9fa1-986e91a79739",4129,"Network activity","ip-src","133.130.120.176","",0,1639438028,"source.ip","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"2fef7733-366c-40bf-894a-b8e88f3c1fe3",4129,"Network activity","domain","v133-130-120-176.a04b.g.tyo1.static.cnode.io","",0,1639438028,"source.fqdn","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"4eef9b5d-2010-4732-bb64-63fba090b52d",4129,"Other","text","Japan","",0,1639438028,"source.geolocation.country","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"af8f8a54-c2d8-4da1-976a-22f602e077ec",4129,"Other","text","Kanagawa","",0,1639438028,"source.geolocation.region","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"ff661ec0-067f-4bee-9124-809825619721",4129,"Other","text","Kawasaki","",0,1639438028,"source.geolocation.city","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"d1d9b752-645e-456b-adbc-42fb393b60db",4129,"Other","text","GMO Internet,Inc","",0,1639438028,"source.as_name","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"43618e7c-9dc9-46e6-808d-6ab119bbe39f",4129,"Network activity","AS",7506,"",0,1639438028,"source.asn","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"771717dd-276e-4693-b415-671c64182b99",4129,"Other","float",35.5311,"",0,1639438028,"source.geolocation.latitude","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"e66331e5-bb8d-49ee-b831-98aa375efcbb",4129,"Other","float",139.7314,"",0,1639438028,"source.geolocation.longitude","","a36a9d69-1e2c-41ca-944d-c1e2b4dc9bf3","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"3eb7127a-da58-4308-a607-0ea7c034b523",4129,"Network activity","ip-src","138.197.216.230","",0,1639438028,"source.ip","","652e47cc-751d-4391-910b-d6ee643083ad","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"c0a5f5ec-fec5-4b5a-b1da-758a87024776",4129,"Network activity","domain","jerry-se-do-na-west-scanners-89.do.binaryedge.ninja","",0,1639438028,"source.fqdn","","652e47cc-751d-4391-910b-d6ee643083ad","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"76278fb5-2250-4ca7-9051-b9984b1b962a",4129,"Other","text","United States","",0,1639438028,"source.geolocation.country","","652e47cc-751d-4391-910b-d6ee643083ad","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"dd6f16d2-badb-4159-b921-9631cbb4f45d",4129,"Other","text","California","",0,1639438028,"source.geolocation.region","","652e47cc-751d-4391-910b-d6ee643083ad","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
"f6b73d30-3c7f-49c1-ba6b-454eb2ce558c",4129,"Other","text","Santa Clara","",0,1639438028,"source.geolocation.city","","652e47cc-751d-4391-910b-d6ee643083ad","intelmq_event","network","Log4j Malwar3Ninja IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""high"",osint:source-type=""automatic-collection""",1639686455
